combined_station;total_chla_5_0;total_chla_8_35;total_chla_13_92;total_chla_23_23;total_chla_38_75;total_chla_64_63;total_chla_107_81;total_chla_179_85;total_chla_300_0;DVchla_5_0;DVchla_8_35;DVchla_13_92;DVchla_23_23;DVchla_38_75;DVchla_64_63;DVchla_107_81;DVchla_179_85;DVchla_300_0;X19hex_5_0;X19hex_8_35;X19hex_13_92;X19hex_23_23;X19hex_38_75;X19hex_64_63;X19hex_107_81;X19hex_179_85;X19hex_300_0;fucox_5_0;fucox_8_35;fucox_13_92;fucox_23_23;fucox_38_75;fucox_64_63;fucox_107_81;fucox_179_85;fucox_300_0;perid_5_0;perid_8_35;perid_13_92;perid_23_23;perid_38_75;perid_64_63;perid_107_81;perid_179_85;perid_300_0;zeax_5_0;zeax_8_35;zeax_13_92;zeax_23_23;zeax_38_75;zeax_64_63;zeax_107_81;zeax_179_85;zeax_300_0;long_sat;lat_sat;chla_sat;sst;RRS490;RRS555;RRS443;RRS412;KD490;KDPAR;PAR;ZEU;ZHL;sin_day;cos_day;sin_long;cos_long;day;month;year
combined_station_100;;0.113;;;0.108;0.1295;0.3293333333333333;0.27;;;0.035;;;0.034;0.0395;0.0885;0.08659999999999997;;;0.011;;;0.01;0.0155;0.035666666666666666;0.0348;;;0.003;;;0.003;0.0035;0.006333333333333333;0.0092;;;0.001;;;0.001;0.001;0.0026666666666666666;0.0016;;;0.061;;;0.058;0.0685;0.06633333333333334;0.0198;;-158.020666;22.79166452;0.08922721199999999;26.26;0.006433706;0.001426977;0.010069044000000001;0.013905558;;;;;;;;;;;;
combined_station_1006;0.055024630000000005;;;0.07765569000000001;;0.11784471;0.164968845;0.09998141333333332;;0.005801140773999999;;;0.008362952182;;0.03177416004;0.04626297154;0.01550247593733333;;0.02372064831;;;0.033123400539999986;;0.045019820545;0.08145860123500001;0.04982025192666667;;0.0027100768930000004;;;0.003585235842;;0.006211480151000001;0.007799201456;0.004647327366000001;;0.001671476404;;;0.003079357068;;0.003965407745;0.0016434512585;0.0;;0.016531307640000003;;;0.020724967849999998;;0.05139971637;0.035172140965;0.007587140911333333;;-81.18733017;-33.0416706;0.075196542;15.65;0.006098879000000001;0.001502354;0.008613975;0.010607033;0.032853648;0.058340773;65.59992472;93.22937393;34.33230782;-0.4482293417404106;0.893918596519257;0.9881945274892462;-0.15320435973008553;3;12;2004
combined_station_1007;0.06012979;;;0.06615158000000003;0.10065329;0.11353289;0.13397407;0.112589495;0.00374335;0.0058979464750000005;;;0.002842115008;0.01509884126;0.03074489909;0.039863811910000005;0.0170700612355;0.0;0.025252144780000003;;;0.029058217639999998;0.04956749355;0.04250066803;0.06279595575500001;0.063684980735;0.001307347002;0.0034742994910000003;;;0.003783995724;0.004191733545;0.005292431762999999;0.005043331774;0.004863863724;0.0;0.0024526398980000003;;;0.0026280105040000002;0.005226425011;0.004487809576;0.0033693396115;0.0017368408935;0.0010983151470000002;0.01517109429;;;0.01580103591;0.03113200646;0.05335434135;0.043372328305;0.008578982328;0.00049415783;-81.18733017;-33.00000394;0.075196542;15.65;0.006098879000000001;0.001502354;0.008613975;0.010607033;0.033587074;0.059820153;65.70782216;90.96533203;33.44425964;-0.4482293417404106;0.893918596519257;0.9881945274892462;-0.15320435973008553;3;12;2004
combined_station_101;0.096;;;;0.101;0.103;0.325;0.04133333333333333;;0.031;;;;0.033;0.036000000000000004;0.085;0.012333333333333332;;0.01;;;;0.011;0.012;0.076;0.010666666666666666;;0.006999999999999999;;;;0.008;0.006;0.008;0.001;;0.001;;;;0.001;0.001;0.002;0.0003333333333333333;;0.044;;;;0.046;0.047;0.0305;0.0023333333333333327;;-158.020666;22.79166452;;;;;;;;;;;;0.8919813464595485;0.45207220393230435;0.3742721433491307;0.9273189110078839;5;3;1995
combined_station_102;;0.119;;;0.125;0.1565;0.3946666666666667;0.14500000000000002;;;0.039;;;0.042;0.052000000000000005;0.102;0.044400000000000016;;;0.008;;;0.008;0.015;0.06133333333333332;0.0274;;;0.006;;;0.006999999999999999;0.008;0.008666666666666668;0.0028000000000000004;;;0.001;;;0.001;0.001;0.002;0.0;;;0.059;;;0.061;0.0605;0.04633333333333334;0.008;;-158.020666;22.79166452;0.07745083400000001;15.31;;;;;;;36.72160244;;;0.8919813464595485;0.45207220393230435;0.3742721433491307;0.9273189110078839;5;3;2005
combined_station_103;;0.106;;;0.115;0.1675;0.28400000000000003;0.3512;;;0.033;;;0.037000000000000005;0.0535;0.08149999999999999;0.0475;;;0.011;;;0.011;0.017;0.027000000000000003;0.0416;;;0.006;;;0.006;0.009000000000000001;0.009333333333333334;0.0102;;;0.0;;;0.001;0.0005;0.0013333333333333333;0.0;;;0.06;;;0.068;0.0785;0.06933333333333334;0.030400000000000007;;-158.020666;22.79166452;0.045213132999999996;22.09333333;0.006089481999999999;0.00124742;0.009257739000000001;0.01242959;;;;;;;;;;;;
combined_station_104;;0.077;;;0.081;0.093;0.2255;0.20166666666666666;0.056;;;;;;;;;;;0.01;;;0.01;0.012;0.0365;0.042;0.015;;0.006999999999999999;;;0.006;0.005;0.0085;0.006666666666666667;0.003;;0.001;;;0.002;0.001;0.0035;0.0026666666666666666;0.002;;0.064;;;0.063;0.054000000000000006;0.0595;0.023;0.004;-158.020666;22.79166452;;;;;;;;;;;;0.440518784350495;-0.8977433935342337;0.3742721433491307;0.9273189110078839;5;6;1991
combined_station_105;0.078;;;;0.0985;0.115;0.2485;0.232;;0.025;;;;0.031;0.033;0.051;0.04666666666666667;;0.009000000000000001;;;;0.012;0.018000000000000002;0.031;0.0345;;0.004;;;;0.006;0.008;0.009000000000000001;0.00825;;0.001;;;;0.001;0.001;0.0025;0.00075;;0.051;;;;0.062;0.07200000000000001;0.067;0.017;;-158.020666;22.79166452;;;;;;;;;;;;0.440518784350495;-0.8977433935342337;0.3742721433491307;0.9273189110078839;5;6;1997
combined_station_1061;0.31065565;;;0.42175951;0.51144645;0.41711945;0.11303265999999998;0.029321925;;0.02957812854;;;0.06382540174;0.1225863215;0.07938483986;0.028416127645;0.0024419268215;;0.1453572199;;;0.16636903279999998;0.1912346869;0.099752270955;0.033575404815;0.012169513777500002;;0.015857573859999998;;;0.02004608456;0.02195992028;0.0229367919;0.008206159571999999;0.0016245433689999998;;0.02968152538;;;;;0.018053805785;0.0024885772855;0.0025210520175;;0.09095560578;;;;;0.04056749836;0.0117518875495;0.0008371768560000001;;-78.10399674;-33.37500395;0.264728437;17.2;0.004871668;0.002159082;0.00531214;0.0057700519999999995;0.053656748;0.090531714;62.98044586;58.23916117;22.27638117;-0.4327755925504317;0.9015016841318838;0.9785233667564004;-0.20613592775573883;4;12;2004
combined_station_1062;0.2738419;;;0.36488798;0.55342082;0.53195437;0.100553765;0.01387318;0.0052209000000000005;0.011565370870000001;;;0.058673672074999995;;;0.024369055575;0.0;0.0;0.146706707;;;0.13666814365000002;0.19682795530000002;0.13808873261;0.030034614249999998;0.005871803989;0.001274638326;0.01423796424;;;0.016381806715;0.02157239059;0.023843071209999997;0.0069068246505;0.0007509146109999999;0.0;0.01855048613;;;;;0.014426296750000001;0.0033834967605000004;0.0023614345340000004;0.001905556276;0.038521474490000006;;;;;0.07410490034999999;0.0090670960705;0.00034428138700000007;0.000502467246;-78.10399674;-33.33333728;0.264728437;17.2;0.004871668;0.002159082;0.00531214;0.0057700519999999995;0.056751553;0.094697475;63.07786051;54.77455521;21.16568661;-0.4327755925504317;0.9015016841318838;0.9785233667564004;-0.20613592775573883;4;12;2004
