combined_station;total_chla_5.0;total_chla_8.35;total_chla_13.92;total_chla_23.23;total_chla_38.75;total_chla_64.63;total_chla_107.81;total_chla_179.85;total_chla_300.0;DVchla_5.0;DVchla_8.35;DVchla_13.92;DVchla_23.23;DVchla_38.75;DVchla_64.63;DVchla_107.81;DVchla_179.85;DVchla_300.0;X19hex_5.0;X19hex_8.35;X19hex_13.92;X19hex_23.23;X19hex_38.75;X19hex_64.63;X19hex_107.81;X19hex_179.85;X19hex_300.0;fucox_5.0;fucox_8.35;fucox_13.92;fucox_23.23;fucox_38.75;fucox_64.63;fucox_107.81;fucox_179.85;fucox_300.0;perid_5.0;perid_8.35;perid_13.92;perid_23.23;perid_38.75;perid_64.63;perid_107.81;perid_179.85;perid_300.0;zeax_5.0;zeax_8.35;zeax_13.92;zeax_23.23;zeax_38.75;zeax_64.63;zeax_107.81;zeax_179.85;zeax_300.0;long_sat;lat_sat;chla_sat;sst;RRS490;RRS555;RRS443;RRS412;KD490;KDPAR;PAR;ZEU;ZHL;sin_day;cos_day;sin_long;cos_long;day;month;year
combined_station_100;;0.113;;;0.108;0.1295;0.3293333333333333;0.27;;;0.035;;;0.034;0.0395;0.0885;0.08659999999999997;;;0.011;;;0.01;0.0155;0.035666666666666666;0.0348;;;0.003;;;0.003;0.0035;0.006333333333333333;0.0092;;;0.001;;;0.001;0.001;0.0026666666666666666;0.0016;;;0.061;;;0.058;0.0685;0.06633333333333334;0.0198;;-158.020666;22.79166452;0.08922721199999999;26.26;0.006433706;0.001426977;0.010069044000000001;0.013905558;;;;;;;;;;;;
combined_station_1001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-81.39566351;-9.666669856;;;;;;;;;47.32147598;;;-0.9721181966290612;-0.23449138957041052;0.9887450604787704;-0.1496101780589561;16;9;2000
combined_station_1002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-81.35399684;-9.625003187999999;;;;;;;;;45.43553289;;;-0.9721181966290612;-0.23449138957041052;0.9886359994391336;-0.15032917419112418;16;9;2000
combined_station_1003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-81.31233018;-6.416669752000001;;;;;;;;;46.56842041;;;-0.9483615800121716;-0.31719128858910595;0.9885264155859601;-0.15104809064921537;11;9;2000
combined_station_1004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-81.22899684;-9.541669852;;;;;;;;;49.17873192;;;-0.9679377830240642;-0.25119006388481957;0.9883056795395296;-0.1524856838851064;15;9;2000
combined_station_1005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-81.22899684;-6.45833642;;;;;;;;;48.84242439;;;-0.9483615800121716;-0.31719128858910595;0.9883056795395296;-0.1524856838851064;11;9;2000
combined_station_1006;0.055024630000000005;;;0.07765569000000001;;0.11784471;0.164968845;0.09998141333333332;;0.005801140773999999;;;0.008362952182;;0.03177416004;0.04626297154;0.01550247593733333;;0.02372064831;;;0.033123400539999986;;0.045019820545;0.08145860123500001;0.04982025192666667;;0.0027100768930000004;;;0.003585235842;;0.006211480151000001;0.007799201456;0.004647327366000001;;0.001671476404;;;0.003079357068;;0.003965407745;0.0016434512585;0.0;;0.016531307640000003;;;0.020724967849999998;;0.05139971637;0.035172140965;0.007587140911333333;;-81.18733017;-33.0416706;0.075196542;15.65;0.006098879000000001;0.001502354;0.008613975;0.010607033;0.032853648;0.058340773;65.59992472;93.22937393;34.33230782;-0.4482293417404106;0.893918596519257;0.9881945274892462;-0.15320435973008553;3;12;2004
combined_station_1007;0.06012979;;;0.06615158000000003;0.10065329;0.11353289;0.13397407;0.112589495;0.00374335;0.0058979464750000005;;;0.002842115008;0.01509884126;0.03074489909;0.039863811910000005;0.0170700612355;0.0;0.025252144780000003;;;0.029058217639999998;0.04956749355;0.04250066803;0.06279595575500001;0.063684980735;0.001307347002;0.0034742994910000003;;;0.003783995724;0.004191733545;0.005292431762999999;0.005043331774;0.004863863724;0.0;0.0024526398980000003;;;0.0026280105040000002;0.005226425011;0.004487809576;0.0033693396115;0.0017368408935;0.0010983151470000002;0.01517109429;;;0.01580103591;0.03113200646;0.05335434135;0.043372328305;0.008578982328;0.00049415783;-81.18733017;-33.00000394;0.075196542;15.65;0.006098879000000001;0.001502354;0.008613975;0.010607033;0.033587074;0.059820153;65.70782216;90.96533203;33.44425964;-0.4482293417404106;0.893918596519257;0.9881945274892462;-0.15320435973008553;3;12;2004
combined_station_1008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-81.1456635;-6.541669756;;;;;;;0.203803152;0.238681018;48.14883041;19.11981964;8.384288788;-0.9483615800121716;-0.31719128858910595;0.9880828528325355;-0.15392295455297758;11;9;2000
combined_station_1009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-81.10399684;-9.500003184;;15.665;;;;;;;43.40674782;;;-0.9679377830240642;-0.25119006388481957;0.9879706556554466;-0.15464146780132074;15;9;2000
combined_station_101;0.096;;;;0.101;0.103;0.325;0.04133333333333333;;0.031;;;;0.033;0.036000000000000004;0.085;0.012333333333333332;;0.01;;;;0.011;0.012;0.076;0.010666666666666666;;0.006999999999999999;;;;0.008;0.006;0.008;0.001;;0.001;;;;0.001;0.001;0.002;0.0003333333333333333;;0.044;;;;0.046;0.047;0.0305;0.0023333333333333327;;-158.020666;22.79166452;;;;;;;;;;;;0.8919813464595485;0.45207220393230435;0.3742721433491307;0.9273189110078839;5;3;1995
combined_station_1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-81.0206635;-9.458336516000001;;;;;;;;;48.02815628;;;-0.9679377830240642;-0.25119006388481957;0.9877446938430534;-0.156078248916666;15;9;2000
combined_station_1011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-81.0206635;-6.583336424;;;;;;;0.21739380100000005;0.250934303;48.09800339;18.21442604;7.971901894;-0.9483615800121716;-0.31719128858910595;0.9877446938430534;-0.156078248916666;11;9;2000
combined_station_1012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-80.93733016;-9.416669848;0.5630537870000001;14.12;;;;;;;49.27733612;;;-0.9679377830240642;-0.25119006388481957;0.9875166425568049;-0.1575146998642844;15;9;2000
combined_station_1014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-80.85399683;-9.37500318;;;;;;;;;46.31388855;;;-0.9679377830240642;-0.25119006388481957;0.9872865023068628;-0.15895081743319536;15;9;2000
combined_station_1016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-80.77066349;-9.291669844;;;;;;;;;43.89498329;;;-0.9679377830240642;-0.25119006388481957;0.9870542735248319;-0.16038659893010515;15;9;2000
combined_station_1019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-80.64566349;-9.250003176;;;;;;;;;42.70775223;;;-0.9679377830240642;-0.25119006388481957;0.986702015509865;-0.16253963390130424;15;9;2000
combined_station_102;;0.119;;;0.125;0.1565;0.3946666666666667;0.14500000000000002;;;0.039;;;0.042;0.052000000000000005;0.102;0.044400000000000016;;;0.008;;;0.008;0.015;0.06133333333333332;0.0274;;;0.006;;;0.006999999999999999;0.008;0.008666666666666668;0.0028000000000000004;;;0.001;;;0.001;0.001;0.002;0.0;;;0.059;;;0.061;0.0605;0.04633333333333334;0.008;;-158.020666;22.79166452;0.07745083400000001;15.31;;;;;;;36.72160244;;;0.8919813464595485;0.45207220393230435;0.3742721433491307;0.9273189110078839;5;3;2005
combined_station_1021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-80.56233015;-9.208336508;;;;;;;;;45.30873871;;;-0.9679377830240642;-0.25119006388481957;0.9864645676254999;-0.16397456150097048;15;9;2000
combined_station_1022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-80.52066348;-6.916669767999999;;;;;;;0.094384298;0.13617190699999998;52.68891335;35.08639908;14.68734169;-0.9483615800121716;-0.31719128858910595;0.9863450611145471;-0.16469189541364895;11;9;2000
combined_station_1023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-80.47899682;-9.16666984;;;;;;;;;44.74763107;;;-0.9679377830240642;-0.25119006388481957;0.9862250330041263;-0.16540914205693108;15;9;2000
combined_station_1024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-80.43733015;-6.9583364360000015;;;;;;;0.101868138;0.14353279800000002;53.30584717;33.2111702;14.00497341;-0.9536809966304455;-0.300819807635668;0.9861044833001006;-0.16612630139578033;12;9;2000
combined_station_1025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-80.39566348;-9.125003172000001;0.33564099700000005;15.255;;;;;;;47.12900543;;;-0.9679377830240642;-0.25119006388481957;0.985983412094967;-0.1668433728787764;15;9;2000
