combined_station;day;month;year
combined_station_100;NaN;NaN;NaN
combined_station_1006;3;12;2004
combined_station_1007;3;12;2004
combined_station_101;5;3;1995
combined_station_102;5;3;2005
combined_station_103;;;
combined_station_104;5;6;1991
combined_station_105;5;6;1997
combined_station_1061;4;12;2004
combined_station_1062;4;12;2004
combined_station_108;5;12;1997
combined_station_110;;;
combined_station_113;8;5;1995
combined_station_115;;;
combined_station_116;8;8;2001
combined_station_118;8;10;2005
combined_station_120;9;1;1997
combined_station_121;9;5;1991
combined_station_1213;5;12;2004
combined_station_122;9;8;2006
combined_station_123;9;11;2006
combined_station_125;10;3;2006
combined_station_126;10;4;1997
combined_station_127;10;5;1990
combined_station_128;10;6;1992
combined_station_130;10;7;1997
combined_station_132;10;11;1999
combined_station_133;10;12;2006
combined_station_134;11;4;1991
combined_station_135;11;5;1999
combined_station_1352;28;7;2005
combined_station_1353;29;7;2005
combined_station_137;11;8;1998
combined_station_138;12;1;1998
combined_station_140;12;7;2001
combined_station_1400;7;12;2004
combined_station_1404;8;12;2004
combined_station_141;;;
combined_station_142;12;11;1998
combined_station_143;12;11;2005
combined_station_1439;10;12;2004
combined_station_144;12;12;1996
combined_station_145;13;3;1997
combined_station_1453;9;12;2004
combined_station_146;13;7;2006
combined_station_147;13;12;2005
combined_station_148;14;1;1999
combined_station_149;14;3;2002
combined_station_150;14;4;1990
combined_station_151;14;5;1998
combined_station_153;14;6;2006
combined_station_155;14;8;2005
combined_station_156;15;2;2001
combined_station_157;15;2;2006
combined_station_159;15;4;1999
combined_station_160;15;6;2001
combined_station_161;15;6;2005
combined_station_162;15;7;1999
combined_station_163;15;8;1999
combined_station_165;15;12;1998
combined_station_166;15;12;2001
combined_station_168;16;4;1998
combined_station_169;16;7;1998
combined_station_170;16;9;2006
combined_station_172;16;10;1999
combined_station_174;16;12;1999
combined_station_175;17;1;2002
combined_station_178;17;7;2005
combined_station_180;18;1;1996
combined_station_181;18;1;2001
combined_station_182;18;1;2003
combined_station_184;18;2;1994
combined_station_185;18;3;1999
combined_station_186;18;5;2001
combined_station_187;18;6;1994
combined_station_188;18;6;1998
combined_station_189;;;
combined_station_190;18;11;1995
combined_station_192;19;2;1997
combined_station_193;19;2;1999
combined_station_194;19;3;1998
combined_station_195;19;4;2001
combined_station_197;19;5;2005
combined_station_198;19;9;1991
combined_station_200;19;10;2000
combined_station_201;19;12;1990
combined_station_203;20;2;1998
combined_station_206;20;5;1993
combined_station_208;20;10;1998
combined_station_209;20;11;1994
combined_station_210;20;12;2000
combined_station_211;20;12;2002
combined_station_213;21;3;2004
combined_station_214;;;
combined_station_215;21;6;2003
combined_station_216;21;7;2003
combined_station_217;21;10;2006
combined_station_218;21;12;2003
combined_station_220;;;
combined_station_2204;20;9;2006
combined_station_221;22;2;2002
combined_station_222;22;3;2001
combined_station_224;22;5;2002
combined_station_225;22;5;2003
combined_station_227;22;8;1996
combined_station_228;22;8;2003
combined_station_230;24;5;2000
combined_station_231;24;8;2000
combined_station_2320;2;11;2006
combined_station_2321;3;8;2006
combined_station_2324;19;1;1992
combined_station_2325;19;4;1990
combined_station_2336;4;7;2006
combined_station_2337;5;12;2006
combined_station_234;24;10;2001
combined_station_235;;;
combined_station_2354;19;4;1990
combined_station_236;25;4;1996
combined_station_237;25;4;2003
combined_station_2371;19;7;1990
combined_station_238;25;8;1989
combined_station_239;25;9;1997
combined_station_240;26;1;2006
combined_station_241;26;2;2004
combined_station_2415;19;3;1994
combined_station_243;26;7;1994
combined_station_2430;19;4;1996
combined_station_2431;19;5;1993
combined_station_244;26;11;2002
combined_station_2443;20;6;2002
combined_station_2444;20;7;2003
combined_station_2446;19;10;1995
combined_station_2449;20;6;2006
combined_station_245;27;2;2003
combined_station_246;27;4;2000
combined_station_2460;19;7;1996
combined_station_2462;19;4;1996
combined_station_2463;19;9;1995
combined_station_2464;20;2;2002
combined_station_2465;20;3;2001
combined_station_2466;20;4;2000
combined_station_2467;20;12;2003
combined_station_247;27;5;2006
combined_station_2471;19;2;1997
combined_station_2472;19;5;1999
combined_station_2473;19;7;1995
combined_station_2474;19;8;1998
combined_station_2475;19;9;1994
combined_station_2476;19;9;1999
combined_station_2477;19;12;1994
combined_station_2478;;;
combined_station_2479;20;7;2003
combined_station_248;27;6;1996
combined_station_2480;20;8;2001
combined_station_2481;20;9;2002
combined_station_2482;20;10;2004
combined_station_2483;19;1;1998
combined_station_2484;19;2;1994
combined_station_2485;20;3;2003
combined_station_2486;20;5;2002
combined_station_2488;;;
combined_station_2489;19;4;1993
combined_station_249;;;
combined_station_2502;20;4;2001
combined_station_2503;20;7;2000
combined_station_2504;20;7;2001
combined_station_2505;20;11;2000
combined_station_2506;19;2;1996
combined_station_2507;19;3;1995
combined_station_2509;19;6;1999
combined_station_2510;19;11;1996
combined_station_2511;19;12;1996
combined_station_2513;;;
combined_station_2515;20;9;2003
combined_station_2516;20;9;2006
combined_station_2517;20;10;2002
combined_station_2518;20;12;2001
combined_station_2519;20;12;2006
combined_station_252;28;3;1996
combined_station_2520;19;1;1996
combined_station_2522;19;2;1995
combined_station_2523;19;3;1997
combined_station_2524;19;3;1999
combined_station_2525;19;5;1995
combined_station_2527;19;7;1994
combined_station_2528;19;8;1994
combined_station_2529;19;8;1999
combined_station_2531;19;10;1996
combined_station_2534;20;1;2000
combined_station_2535;20;1;2001
combined_station_2536;;;
combined_station_2537;20;2;2001
combined_station_2538;20;2;2003
combined_station_2539;20;3;2003
combined_station_254;28;7;1996
combined_station_2540;20;3;2004
combined_station_2541;20;3;2005
combined_station_2542;;;
combined_station_2543;20;4;2002
combined_station_2544;20;5;2003
combined_station_2545;20;6;2004
combined_station_2546;;;
combined_station_2547;20;7;2002
combined_station_2548;20;7;2004
combined_station_2549;20;7;2005
combined_station_255;;;
combined_station_2550;20;7;2006
combined_station_2551;;;
combined_station_2552;20;8;2000
combined_station_2553;20;8;2005
combined_station_2554;20;8;2006
combined_station_2555;20;10;2001
combined_station_2556;20;10;2003
combined_station_2557;20;10;2005
combined_station_2558;20;11;2004
combined_station_2559;20;11;2006
combined_station_256;28;9;1995
combined_station_2560;20;12;2000
combined_station_2561;20;12;2005
combined_station_2562;19;4;1995
combined_station_2563;20;1;2005
combined_station_2564;20;2;2005
combined_station_2565;20;3;2005
combined_station_2569;19;3;1993
combined_station_257;28;10;1995
combined_station_2573;19;10;1990
combined_station_2574;19;11;1990
combined_station_2575;19;6;1990
combined_station_258;28;11;1989
combined_station_2594;19;4;1999
combined_station_2596;20;3;2000
combined_station_2597;20;6;2001
combined_station_2598;20;10;2000
combined_station_2599;19;7;1996
combined_station_2600;19;10;1994
combined_station_2601;20;1;2006
combined_station_2603;20;2;2006
combined_station_2604;20;9;2004
combined_station_2605;19;1;1995
combined_station_2606;19;2;1995
combined_station_2608;19;3;1996
combined_station_2609;19;3;1998
combined_station_261;;;
combined_station_2611;19;4;1998
combined_station_2612;19;6;1996
combined_station_2614;19;8;1995
combined_station_2616;19;9;1996
combined_station_2619;19;11;1995
combined_station_262;29;8;1995
combined_station_2621;20;1;2004
combined_station_2622;20;2;2005
combined_station_2623;20;2;2006
combined_station_2624;20;4;2001
combined_station_2626;20;4;2004
combined_station_2627;20;4;2005
combined_station_2628;;;
combined_station_2629;20;5;2005
combined_station_263;29;8;2002
combined_station_2630;20;5;2006
combined_station_2631;20;8;2003
combined_station_2632;20;8;2004
combined_station_2633;20;9;2001
